srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,fin,20,20,judge27,newstest2016.jhu-hltcoe.4466.en-fi,2,newstest2016.online-G.0.en-fi,1,814
eng,fin,20,20,judge27,newstest2016.jhu-hltcoe.4466.en-fi,2,newstest2016.aalto.4405.en-fi,3,814
eng,fin,20,20,judge27,newstest2016.jhu-hltcoe.4466.en-fi,2,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,5,814
eng,fin,20,20,judge27,newstest2016.jhu-hltcoe.4466.en-fi,2,newstest2016.abumatran-pbsmt.4409.en-fi,4,814
eng,fin,20,20,judge27,newstest2016.online-G.0.en-fi,1,newstest2016.aalto.4405.en-fi,3,814
eng,fin,20,20,judge27,newstest2016.online-G.0.en-fi,1,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,5,814
eng,fin,20,20,judge27,newstest2016.online-G.0.en-fi,1,newstest2016.abumatran-pbsmt.4409.en-fi,4,814
eng,fin,20,20,judge27,newstest2016.aalto.4405.en-fi,3,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,5,814
eng,fin,20,20,judge27,newstest2016.aalto.4405.en-fi,3,newstest2016.abumatran-pbsmt.4409.en-fi,4,814
eng,fin,20,20,judge27,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,5,newstest2016.abumatran-pbsmt.4409.en-fi,4,814
eng,fin,21,21,judge27,newstest2016.UH-opus.4414.en-fi,1,newstest2016.abumatran-pbsmt.4409.en-fi,4,815
eng,fin,21,21,judge27,newstest2016.UH-opus.4414.en-fi,1,newstest2016.UH-factored.4382.en-fi,5,815
eng,fin,21,21,judge27,newstest2016.UH-opus.4414.en-fi,1,newstest2016.online-G.0.en-fi,2,815
eng,fin,21,21,judge27,newstest2016.UH-opus.4414.en-fi,1,newstest2016.online-A.0.en-fi,2,815
eng,fin,21,21,judge27,newstest2016.abumatran-pbsmt.4409.en-fi,4,newstest2016.UH-factored.4382.en-fi,5,815
eng,fin,21,21,judge27,newstest2016.abumatran-pbsmt.4409.en-fi,4,newstest2016.online-G.0.en-fi,2,815
eng,fin,21,21,judge27,newstest2016.abumatran-pbsmt.4409.en-fi,4,newstest2016.online-A.0.en-fi,2,815
eng,fin,21,21,judge27,newstest2016.UH-factored.4382.en-fi,5,newstest2016.online-G.0.en-fi,2,815
eng,fin,21,21,judge27,newstest2016.UH-factored.4382.en-fi,5,newstest2016.online-A.0.en-fi,2,815
eng,fin,21,21,judge27,newstest2016.online-G.0.en-fi,2,newstest2016.online-A.0.en-fi,2,815
eng,fin,22,22,judge27,newstest2016.abumatran-pbsmt.4409.en-fi,1,newstest2016.jhu-pbmt.4289.en-fi,4,816
eng,fin,22,22,judge27,newstest2016.abumatran-pbsmt.4409.en-fi,1,newstest2016.aalto.4405.en-fi,3,816
eng,fin,22,22,judge27,newstest2016.abumatran-pbsmt.4409.en-fi,1,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,2,816
eng,fin,22,22,judge27,newstest2016.abumatran-pbsmt.4409.en-fi,1,newstest2016.UH-factored.4382.en-fi,5,816
eng,fin,22,22,judge27,newstest2016.jhu-pbmt.4289.en-fi,4,newstest2016.aalto.4405.en-fi,3,816
eng,fin,22,22,judge27,newstest2016.jhu-pbmt.4289.en-fi,4,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,2,816
eng,fin,22,22,judge27,newstest2016.jhu-pbmt.4289.en-fi,4,newstest2016.UH-factored.4382.en-fi,5,816
eng,fin,22,22,judge27,newstest2016.aalto.4405.en-fi,3,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,2,816
eng,fin,22,22,judge27,newstest2016.aalto.4405.en-fi,3,newstest2016.UH-factored.4382.en-fi,5,816
eng,fin,22,22,judge27,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-nmt.4412.en-fi,2,newstest2016.UH-factored.4382.en-fi,5,816
eng,fin,375,375,judge14,newstest2016.aalto.4405.en-fi,4,newstest2016.UUT.4529.en-fi,3,817
eng,fin,375,375,judge14,newstest2016.aalto.4405.en-fi,4,newstest2016.online-B.0.en-fi,1,817
eng,fin,375,375,judge14,newstest2016.aalto.4405.en-fi,4,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-pbsmt.4409.en-fi,5,817
eng,fin,375,375,judge14,newstest2016.aalto.4405.en-fi,4,newstest2016.NYU-UMontreal.4329.en-fi,2,817
eng,fin,375,375,judge14,newstest2016.UUT.4529.en-fi,3,newstest2016.online-B.0.en-fi,1,817
eng,fin,375,375,judge14,newstest2016.UUT.4529.en-fi,3,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-pbsmt.4409.en-fi,5,817
eng,fin,375,375,judge14,newstest2016.UUT.4529.en-fi,3,newstest2016.NYU-UMontreal.4329.en-fi,2,817
eng,fin,375,375,judge14,newstest2016.online-B.0.en-fi,1,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-pbsmt.4409.en-fi,5,817
eng,fin,375,375,judge14,newstest2016.online-B.0.en-fi,1,newstest2016.NYU-UMontreal.4329.en-fi,2,817
eng,fin,375,375,judge14,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-pbsmt.4409.en-fi,5,newstest2016.NYU-UMontreal.4329.en-fi,2,817
eng,fin,376,376,judge14,newstest2016.online-A.0.en-fi,4,newstest2016.UH-factored.4382.en-fi,2,818
eng,fin,376,376,judge14,newstest2016.online-A.0.en-fi,4,newstest2016.aalto.4405.en-fi,5,818
eng,fin,376,376,judge14,newstest2016.online-A.0.en-fi,4,newstest2016.UH-opus.4414.en-fi,3,818
eng,fin,376,376,judge14,newstest2016.online-A.0.en-fi,4,newstest2016.NYU-UMontreal.4329.en-fi,1,818
eng,fin,376,376,judge14,newstest2016.UH-factored.4382.en-fi,2,newstest2016.aalto.4405.en-fi,5,818
eng,fin,376,376,judge14,newstest2016.UH-factored.4382.en-fi,2,newstest2016.UH-opus.4414.en-fi,3,818
eng,fin,376,376,judge14,newstest2016.UH-factored.4382.en-fi,2,newstest2016.NYU-UMontreal.4329.en-fi,1,818
eng,fin,376,376,judge14,newstest2016.aalto.4405.en-fi,5,newstest2016.UH-opus.4414.en-fi,3,818
eng,fin,376,376,judge14,newstest2016.aalto.4405.en-fi,5,newstest2016.NYU-UMontreal.4329.en-fi,1,818
eng,fin,376,376,judge14,newstest2016.UH-opus.4414.en-fi,3,newstest2016.NYU-UMontreal.4329.en-fi,1,818
eng,fin,377,377,judge14,newstest2016.aalto.4405.en-fi,5,newstest2016.NYU-UMontreal.4329.en-fi,1,819
eng,fin,377,377,judge14,newstest2016.aalto.4405.en-fi,5,newstest2016.UH-factored.4382.en-fi,3,819
eng,fin,377,377,judge14,newstest2016.aalto.4405.en-fi,5,newstest2016.online-G.0.en-fi,2,819
eng,fin,377,377,judge14,newstest2016.aalto.4405.en-fi,5,newstest2016.jhu-pbmt.4289.en-fi,4,819
eng,fin,377,377,judge14,newstest2016.NYU-UMontreal.4329.en-fi,1,newstest2016.UH-factored.4382.en-fi,3,819
eng,fin,377,377,judge14,newstest2016.NYU-UMontreal.4329.en-fi,1,newstest2016.online-G.0.en-fi,2,819
eng,fin,377,377,judge14,newstest2016.NYU-UMontreal.4329.en-fi,1,newstest2016.jhu-pbmt.4289.en-fi,4,819
eng,fin,377,377,judge14,newstest2016.UH-factored.4382.en-fi,3,newstest2016.online-G.0.en-fi,2,819
eng,fin,377,377,judge14,newstest2016.UH-factored.4382.en-fi,3,newstest2016.jhu-pbmt.4289.en-fi,4,819
eng,fin,377,377,judge14,newstest2016.online-G.0.en-fi,2,newstest2016.jhu-pbmt.4289.en-fi,4,819
eng,fin,576,576,judge28,newstest2016.online-A.0.en-fi,5,newstest2016.aalto.4405.en-fi,5,820
eng,fin,576,576,judge28,newstest2016.online-A.0.en-fi,5,newstest2016.abumatran-nmt.4412.en-fi,2,820
eng,fin,576,576,judge28,newstest2016.online-A.0.en-fi,5,newstest2016.UH-factored.4382.en-fi,1,820
eng,fin,576,576,judge28,newstest2016.online-A.0.en-fi,5,newstest2016.abumatran-combo.4496.en-fi+newstest2016.abumatran-pbsmt.4409.en-fi+newstest2016.jhu-pbmt.4289.en-fi,3,820
eng,fin,576,576,judge28,newstest2016.aalto.4405.en-fi,5,newstest2016.abumatran-nmt.4412.en-fi,2,820
