srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,ron,680,680,judge56,newstest2016.RWTH-SYSCOMB.4497.en-ro,2,newstest2016.uedin-nmt.4301.en-ro,5,1669
eng,ron,680,680,judge56,newstest2016.RWTH-SYSCOMB.4497.en-ro,2,newstest2016.uedin-lmu-hiero.4432.en-ro,3,1669
eng,ron,680,680,judge56,newstest2016.RWTH-SYSCOMB.4497.en-ro,2,newstest2016.jhu-pbmt.4291.en-ro,4,1669
eng,ron,680,680,judge56,newstest2016.RWTH-SYSCOMB.4497.en-ro,2,newstest2016.uedin-pbmt.4362.en-ro,1,1669
eng,ron,680,680,judge56,newstest2016.uedin-nmt.4301.en-ro,5,newstest2016.uedin-lmu-hiero.4432.en-ro,3,1669
eng,ron,680,680,judge56,newstest2016.uedin-nmt.4301.en-ro,5,newstest2016.jhu-pbmt.4291.en-ro,4,1669
eng,ron,680,680,judge56,newstest2016.uedin-nmt.4301.en-ro,5,newstest2016.uedin-pbmt.4362.en-ro,1,1669
eng,ron,680,680,judge56,newstest2016.uedin-lmu-hiero.4432.en-ro,3,newstest2016.jhu-pbmt.4291.en-ro,4,1669
eng,ron,680,680,judge56,newstest2016.uedin-lmu-hiero.4432.en-ro,3,newstest2016.uedin-pbmt.4362.en-ro,1,1669
eng,ron,680,680,judge56,newstest2016.jhu-pbmt.4291.en-ro,4,newstest2016.uedin-pbmt.4362.en-ro,1,1669
eng,ron,681,681,judge56,newstest2016.uedin-lmu-hiero.4432.en-ro,4,newstest2016.KIT.4428.en-ro,1,1670
eng,ron,681,681,judge56,newstest2016.uedin-lmu-hiero.4432.en-ro,4,newstest2016.lmu-cuni.4495.en-ro,2,1670
eng,ron,681,681,judge56,newstest2016.uedin-lmu-hiero.4432.en-ro,4,newstest2016.QT21-HimL-SysComb.4513.en-ro,3,1670
eng,ron,681,681,judge56,newstest2016.uedin-lmu-hiero.4432.en-ro,4,newstest2016.online-B.0.en-ro,5,1670
eng,ron,681,681,judge56,newstest2016.KIT.4428.en-ro,1,newstest2016.lmu-cuni.4495.en-ro,2,1670
eng,ron,681,681,judge56,newstest2016.KIT.4428.en-ro,1,newstest2016.QT21-HimL-SysComb.4513.en-ro,3,1670
eng,ron,681,681,judge56,newstest2016.KIT.4428.en-ro,1,newstest2016.online-B.0.en-ro,5,1670
eng,ron,681,681,judge56,newstest2016.lmu-cuni.4495.en-ro,2,newstest2016.QT21-HimL-SysComb.4513.en-ro,3,1670
eng,ron,681,681,judge56,newstest2016.lmu-cuni.4495.en-ro,2,newstest2016.online-B.0.en-ro,5,1670
eng,ron,681,681,judge56,newstest2016.QT21-HimL-SysComb.4513.en-ro,3,newstest2016.online-B.0.en-ro,5,1670
eng,ron,682,682,judge56,newstest2016.jhu-pbmt.4291.en-ro,3,newstest2016.online-B.0.en-ro,1,1671
eng,ron,682,682,judge56,newstest2016.jhu-pbmt.4291.en-ro,3,newstest2016.KIT.4428.en-ro,5,1671
eng,ron,682,682,judge56,newstest2016.jhu-pbmt.4291.en-ro,3,newstest2016.online-A.0.en-ro,4,1671
eng,ron,682,682,judge56,newstest2016.jhu-pbmt.4291.en-ro,3,newstest2016.uedin-pbmt.4362.en-ro,2,1671
eng,ron,682,682,judge56,newstest2016.online-B.0.en-ro,1,newstest2016.KIT.4428.en-ro,5,1671
eng,ron,682,682,judge56,newstest2016.online-B.0.en-ro,1,newstest2016.online-A.0.en-ro,4,1671
eng,ron,682,682,judge56,newstest2016.online-B.0.en-ro,1,newstest2016.uedin-pbmt.4362.en-ro,2,1671
eng,ron,682,682,judge56,newstest2016.KIT.4428.en-ro,5,newstest2016.online-A.0.en-ro,4,1671
eng,ron,682,682,judge56,newstest2016.KIT.4428.en-ro,5,newstest2016.uedin-pbmt.4362.en-ro,2,1671
eng,ron,682,682,judge56,newstest2016.online-A.0.en-ro,4,newstest2016.uedin-pbmt.4362.en-ro,2,1671
eng,ron,678,678,judge56,newstest2016.online-A.0.en-ro,1,newstest2016.uedin-pbmt.4362.en-ro,4,1672
eng,ron,678,678,judge56,newstest2016.online-A.0.en-ro,1,newstest2016.LIMSI.4423.en-ro,2,1672
eng,ron,678,678,judge56,newstest2016.online-A.0.en-ro,1,newstest2016.KIT.4428.en-ro,3,1672
