srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,tur,541,541,judge54,newstest2016.online-A.0.en-tr,2,newstest2016.online-G.0.en-tr,3,1615
eng,tur,541,541,judge54,newstest2016.online-A.0.en-tr,2,newstest2016.CMU.4538.en-tr,2,1615
eng,tur,541,541,judge54,newstest2016.online-A.0.en-tr,2,newstest2016.tbtk-morph-HPB.4503.en-tr,3,1615
eng,tur,541,541,judge54,newstest2016.online-A.0.en-tr,2,newstest2016.dvorkanton.4398.en-tr,5,1615
eng,tur,541,541,judge54,newstest2016.online-G.0.en-tr,3,newstest2016.CMU.4538.en-tr,2,1615
eng,tur,541,541,judge54,newstest2016.online-G.0.en-tr,3,newstest2016.tbtk-morph-HPB.4503.en-tr,3,1615
eng,tur,541,541,judge54,newstest2016.online-G.0.en-tr,3,newstest2016.dvorkanton.4398.en-tr,5,1615
eng,tur,541,541,judge54,newstest2016.CMU.4538.en-tr,2,newstest2016.tbtk-morph-HPB.4503.en-tr,3,1615
eng,tur,541,541,judge54,newstest2016.CMU.4538.en-tr,2,newstest2016.dvorkanton.4398.en-tr,5,1615
eng,tur,541,541,judge54,newstest2016.tbtk-morph-HPB.4503.en-tr,3,newstest2016.dvorkanton.4398.en-tr,5,1615
eng,tur,542,542,judge54,newstest2016.tbtk-morph-HPB.4503.en-tr,5,newstest2016.online-G.0.en-tr,3,1616
eng,tur,542,542,judge54,newstest2016.tbtk-morph-HPB.4503.en-tr,5,newstest2016.online-B.0.en-tr,1,1616
eng,tur,542,542,judge54,newstest2016.tbtk-morph-HPB.4503.en-tr,5,newstest2016.dvorkanton.4398.en-tr,2,1616
eng,tur,542,542,judge54,newstest2016.tbtk-morph-HPB.4503.en-tr,5,newstest2016.online-A.0.en-tr,1,1616
eng,tur,542,542,judge54,newstest2016.online-G.0.en-tr,3,newstest2016.online-B.0.en-tr,1,1616
eng,tur,542,542,judge54,newstest2016.online-G.0.en-tr,3,newstest2016.dvorkanton.4398.en-tr,2,1616
eng,tur,542,542,judge54,newstest2016.online-G.0.en-tr,3,newstest2016.online-A.0.en-tr,1,1616
eng,tur,542,542,judge54,newstest2016.online-B.0.en-tr,1,newstest2016.dvorkanton.4398.en-tr,2,1616
eng,tur,542,542,judge54,newstest2016.online-B.0.en-tr,1,newstest2016.online-A.0.en-tr,1,1616
eng,tur,542,542,judge54,newstest2016.dvorkanton.4398.en-tr,2,newstest2016.online-A.0.en-tr,1,1616
eng,tur,543,543,judge54,newstest2016.jhu-pbmt.4288.en-tr,5,newstest2016.online-B.0.en-tr,1,1617
eng,tur,543,543,judge54,newstest2016.jhu-pbmt.4288.en-tr,5,newstest2016.jhu-hltcoe.4465.en-tr,4,1617
eng,tur,543,543,judge54,newstest2016.jhu-pbmt.4288.en-tr,5,newstest2016.CMU.4538.en-tr,2,1617
eng,tur,543,543,judge54,newstest2016.jhu-pbmt.4288.en-tr,5,newstest2016.dvorkanton.4398.en-tr+newstest2016.online-A.0.en-tr+newstest2016.online-G.0.en-tr+newstest2016.tbtk-morph-HPB.4503.en-tr,1,1617
