srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
ron,eng,651,651,judge5,newstest2016.online-B.0.ro-en,5,newstest2016.uedin-syntax.4272.ro-en,5,1627
ron,eng,651,651,judge5,newstest2016.online-B.0.ro-en,5,newstest2016.jhu-pbmt.4284.ro-en,5,1627
ron,eng,651,651,judge5,newstest2016.online-B.0.ro-en,5,newstest2016.uedin-nmt.4302.ro-en,5,1627
ron,eng,651,651,judge5,newstest2016.online-B.0.ro-en,5,newstest2016.online-A.0.ro-en,4,1627
ron,eng,651,651,judge5,newstest2016.uedin-syntax.4272.ro-en,5,newstest2016.jhu-pbmt.4284.ro-en,5,1627
ron,eng,651,651,judge5,newstest2016.uedin-syntax.4272.ro-en,5,newstest2016.uedin-nmt.4302.ro-en,5,1627
ron,eng,651,651,judge5,newstest2016.uedin-syntax.4272.ro-en,5,newstest2016.online-A.0.ro-en,4,1627
ron,eng,651,651,judge5,newstest2016.jhu-pbmt.4284.ro-en,5,newstest2016.uedin-nmt.4302.ro-en,5,1627
ron,eng,651,651,judge5,newstest2016.jhu-pbmt.4284.ro-en,5,newstest2016.online-A.0.ro-en,4,1627
ron,eng,651,651,judge5,newstest2016.uedin-nmt.4302.ro-en,5,newstest2016.online-A.0.ro-en,4,1627
ron,eng,652,652,judge5,newstest2016.uedin-pbmt.4363.ro-en,2,newstest2016.online-B.0.ro-en,1,1628
ron,eng,652,652,judge5,newstest2016.uedin-pbmt.4363.ro-en,2,newstest2016.jhu-pbmt.4284.ro-en,1,1628
ron,eng,652,652,judge5,newstest2016.uedin-pbmt.4363.ro-en,2,newstest2016.uedin-nmt.4302.ro-en,3,1628
ron,eng,652,652,judge5,newstest2016.uedin-pbmt.4363.ro-en,2,newstest2016.uedin-syntax.4272.ro-en,1,1628
ron,eng,652,652,judge5,newstest2016.online-B.0.ro-en,1,newstest2016.jhu-pbmt.4284.ro-en,1,1628
ron,eng,652,652,judge5,newstest2016.online-B.0.ro-en,1,newstest2016.uedin-nmt.4302.ro-en,3,1628
ron,eng,652,652,judge5,newstest2016.online-B.0.ro-en,1,newstest2016.uedin-syntax.4272.ro-en,1,1628
ron,eng,652,652,judge5,newstest2016.jhu-pbmt.4284.ro-en,1,newstest2016.uedin-nmt.4302.ro-en,3,1628
ron,eng,652,652,judge5,newstest2016.jhu-pbmt.4284.ro-en,1,newstest2016.uedin-syntax.4272.ro-en,1,1628
ron,eng,652,652,judge5,newstest2016.uedin-nmt.4302.ro-en,3,newstest2016.uedin-syntax.4272.ro-en,1,1628
ron,eng,653,653,judge5,newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.uedin-nmt.4302.ro-en,5,1629
ron,eng,653,653,judge5,newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.online-A.0.ro-en,5,1629
ron,eng,653,653,judge5,newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.jhu-pbmt.4284.ro-en,4,1629
ron,eng,653,653,judge5,newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.online-B.0.ro-en,1,1629
ron,eng,653,653,judge5,newstest2016.uedin-nmt.4302.ro-en,5,newstest2016.online-A.0.ro-en,5,1629
ron,eng,653,653,judge5,newstest2016.uedin-nmt.4302.ro-en,5,newstest2016.jhu-pbmt.4284.ro-en,4,1629
ron,eng,653,653,judge5,newstest2016.uedin-nmt.4302.ro-en,5,newstest2016.online-B.0.ro-en,1,1629
ron,eng,653,653,judge5,newstest2016.online-A.0.ro-en,5,newstest2016.jhu-pbmt.4284.ro-en,4,1629
ron,eng,653,653,judge5,newstest2016.online-A.0.ro-en,5,newstest2016.online-B.0.ro-en,1,1629
ron,eng,653,653,judge5,newstest2016.jhu-pbmt.4284.ro-en,4,newstest2016.online-B.0.ro-en,1,1629
ron,eng,684,684,judge5,newstest2016.LIMSI.4422.ro-en+newstest2016.online-B.0.ro-en,1,newstest2016.online-A.0.ro-en,3,1630
ron,eng,684,684,judge5,newstest2016.LIMSI.4422.ro-en+newstest2016.online-B.0.ro-en,1,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-pbmt.4363.ro-en,5,1630
ron,eng,684,684,judge5,newstest2016.LIMSI.4422.ro-en+newstest2016.online-B.0.ro-en,1,newstest2016.uedin-syntax.4272.ro-en,2,1630
ron,eng,684,684,judge5,newstest2016.LIMSI.4422.ro-en+newstest2016.online-B.0.ro-en,1,newstest2016.uedin-nmt.4302.ro-en,4,1630
ron,eng,684,684,judge5,newstest2016.online-A.0.ro-en,3,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-pbmt.4363.ro-en,5,1630
ron,eng,684,684,judge5,newstest2016.online-A.0.ro-en,3,newstest2016.uedin-syntax.4272.ro-en,2,1630
ron,eng,684,684,judge5,newstest2016.online-A.0.ro-en,3,newstest2016.uedin-nmt.4302.ro-en,4,1630
ron,eng,684,684,judge5,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.uedin-syntax.4272.ro-en,2,1630
ron,eng,684,684,judge5,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.uedin-nmt.4302.ro-en,4,1630
ron,eng,684,684,judge5,newstest2016.uedin-syntax.4272.ro-en,2,newstest2016.uedin-nmt.4302.ro-en,4,1630
ron,eng,685,685,judge5,newstest2016.uedin-syntax.4272.ro-en,1,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.online-B.0.ro-en+newstest2016.uedin-pbmt.4363.ro-en,1,1631
ron,eng,685,685,judge5,newstest2016.uedin-syntax.4272.ro-en,1,newstest2016.online-A.0.ro-en,1,1631
ron,eng,685,685,judge5,newstest2016.uedin-syntax.4272.ro-en,1,newstest2016.LIMSI.4422.ro-en+newstest2016.uedin-nmt.4302.ro-en,1,1631
ron,eng,685,685,judge5,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.online-B.0.ro-en+newstest2016.uedin-pbmt.4363.ro-en,1,newstest2016.online-A.0.ro-en,1,1631
ron,eng,685,685,judge5,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.online-B.0.ro-en+newstest2016.uedin-pbmt.4363.ro-en,1,newstest2016.LIMSI.4422.ro-en+newstest2016.uedin-nmt.4302.ro-en,1,1631
ron,eng,685,685,judge5,newstest2016.online-A.0.ro-en,1,newstest2016.LIMSI.4422.ro-en+newstest2016.uedin-nmt.4302.ro-en,1,1631
ron,eng,686,686,judge5,newstest2016.uedin-syntax.4272.ro-en,2,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-nmt.4302.ro-en,1,1632
ron,eng,686,686,judge5,newstest2016.uedin-syntax.4272.ro-en,2,newstest2016.online-B.0.ro-en,4,1632
ron,eng,686,686,judge5,newstest2016.uedin-syntax.4272.ro-en,2,newstest2016.online-A.0.ro-en,3,1632
ron,eng,686,686,judge5,newstest2016.uedin-syntax.4272.ro-en,2,newstest2016.LIMSI.4422.ro-en+newstest2016.uedin-pbmt.4363.ro-en,1,1632
ron,eng,686,686,judge5,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-nmt.4302.ro-en,1,newstest2016.online-B.0.ro-en,4,1632
ron,eng,686,686,judge5,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-nmt.4302.ro-en,1,newstest2016.online-A.0.ro-en,3,1632
ron,eng,686,686,judge5,newstest2016.jhu-pbmt.4284.ro-en+newstest2016.uedin-nmt.4302.ro-en,1,newstest2016.LIMSI.4422.ro-en+newstest2016.uedin-pbmt.4363.ro-en,1,1632
ron,eng,686,686,judge5,newstest2016.online-B.0.ro-en,4,newstest2016.online-A.0.ro-en,3,1632
ron,eng,686,686,judge5,newstest2016.online-B.0.ro-en,4,newstest2016.LIMSI.4422.ro-en+newstest2016.uedin-pbmt.4363.ro-en,1,1632
ron,eng,686,686,judge5,newstest2016.online-A.0.ro-en,3,newstest2016.LIMSI.4422.ro-en+newstest2016.uedin-pbmt.4363.ro-en,1,1632
ron,eng,471,471,judge5,newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.uedin-syntax.4272.ro-en,1,1633
ron,eng,471,471,judge5,newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.online-A.0.ro-en,3,1633
ron,eng,471,471,judge5,newstest2016.uedin-pbmt.4363.ro-en,5,newstest2016.online-B.0.ro-en,2,1633
