srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
rus,eng,916,916,judge9,newstest2016.NRC.4456.ru-en,4,newstest2016.online-B.0.ru-en,2,1135
rus,eng,916,916,judge9,newstest2016.NRC.4456.ru-en,4,newstest2016.online-G.0.ru-en,3,1135
rus,eng,916,916,judge9,newstest2016.NRC.4456.ru-en,4,newstest2016.online-F.0.ru-en,5,1135
rus,eng,916,916,judge9,newstest2016.NRC.4456.ru-en,4,newstest2016.uedin-nmt.4309.ru-en,1,1135
rus,eng,916,916,judge9,newstest2016.online-B.0.ru-en,2,newstest2016.online-G.0.ru-en,3,1135
rus,eng,916,916,judge9,newstest2016.online-B.0.ru-en,2,newstest2016.online-F.0.ru-en,5,1135
rus,eng,916,916,judge9,newstest2016.online-B.0.ru-en,2,newstest2016.uedin-nmt.4309.ru-en,1,1135
rus,eng,916,916,judge9,newstest2016.online-G.0.ru-en,3,newstest2016.online-F.0.ru-en,5,1135
rus,eng,916,916,judge9,newstest2016.online-G.0.ru-en,3,newstest2016.uedin-nmt.4309.ru-en,1,1135
rus,eng,916,916,judge9,newstest2016.online-F.0.ru-en,5,newstest2016.uedin-nmt.4309.ru-en,1,1135
rus,eng,918,918,judge9,newstest2016.AFRL-MITLL-Phrase.4383.ru-en,3,newstest2016.AFRL-MITLL-contrast.4524.ru-en,4,1136
rus,eng,918,918,judge9,newstest2016.AFRL-MITLL-Phrase.4383.ru-en,3,newstest2016.uedin-nmt.4309.ru-en,1,1136
rus,eng,918,918,judge9,newstest2016.AFRL-MITLL-Phrase.4383.ru-en,3,newstest2016.online-A.0.ru-en,5,1136
rus,eng,918,918,judge9,newstest2016.AFRL-MITLL-Phrase.4383.ru-en,3,newstest2016.AMU-UEDIN.4458.ru-en,2,1136
rus,eng,918,918,judge9,newstest2016.AFRL-MITLL-contrast.4524.ru-en,4,newstest2016.uedin-nmt.4309.ru-en,1,1136
