srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
tur,eng,620,620,judge26,newstest2016.jhu-pbmt.4285.tr-en,4,newstest2016.dvorkanton.4346.tr-en,2,1264
tur,eng,620,620,judge26,newstest2016.jhu-pbmt.4285.tr-en,4,newstest2016.tbtk-syscomb.4509.tr-en,3,1264
tur,eng,620,620,judge26,newstest2016.jhu-pbmt.4285.tr-en,4,newstest2016.jhu-syntax.4391.tr-en,3,1264
tur,eng,620,620,judge26,newstest2016.jhu-pbmt.4285.tr-en,4,newstest2016.online-A.0.tr-en+newstest2016.PROMT-SMT.4335.tr-en,1,1264
tur,eng,620,620,judge26,newstest2016.dvorkanton.4346.tr-en,2,newstest2016.tbtk-syscomb.4509.tr-en,3,1264
tur,eng,620,620,judge26,newstest2016.dvorkanton.4346.tr-en,2,newstest2016.jhu-syntax.4391.tr-en,3,1264
tur,eng,620,620,judge26,newstest2016.dvorkanton.4346.tr-en,2,newstest2016.online-A.0.tr-en+newstest2016.PROMT-SMT.4335.tr-en,1,1264
tur,eng,620,620,judge26,newstest2016.tbtk-syscomb.4509.tr-en,3,newstest2016.jhu-syntax.4391.tr-en,3,1264
tur,eng,620,620,judge26,newstest2016.tbtk-syscomb.4509.tr-en,3,newstest2016.online-A.0.tr-en+newstest2016.PROMT-SMT.4335.tr-en,1,1264
tur,eng,620,620,judge26,newstest2016.jhu-syntax.4391.tr-en,3,newstest2016.online-A.0.tr-en+newstest2016.PROMT-SMT.4335.tr-en,1,1264
tur,eng,623,623,judge26,newstest2016.tbtk-syscomb.4509.tr-en,2,newstest2016.PROMT-SMT.4335.tr-en,2,1265
tur,eng,623,623,judge26,newstest2016.tbtk-syscomb.4509.tr-en,2,newstest2016.online-B.0.tr-en,2,1265
tur,eng,623,623,judge26,newstest2016.tbtk-syscomb.4509.tr-en,2,newstest2016.online-A.0.tr-en,3,1265
tur,eng,623,623,judge26,newstest2016.tbtk-syscomb.4509.tr-en,2,newstest2016.online-G.0.tr-en,3,1265
tur,eng,623,623,judge26,newstest2016.PROMT-SMT.4335.tr-en,2,newstest2016.online-B.0.tr-en,2,1265
tur,eng,623,623,judge26,newstest2016.PROMT-SMT.4335.tr-en,2,newstest2016.online-A.0.tr-en,3,1265
tur,eng,623,623,judge26,newstest2016.PROMT-SMT.4335.tr-en,2,newstest2016.online-G.0.tr-en,3,1265
tur,eng,623,623,judge26,newstest2016.online-B.0.tr-en,2,newstest2016.online-A.0.tr-en,3,1265
tur,eng,623,623,judge26,newstest2016.online-B.0.tr-en,2,newstest2016.online-G.0.tr-en,3,1265
tur,eng,623,623,judge26,newstest2016.online-A.0.tr-en,3,newstest2016.online-G.0.tr-en,3,1265
tur,eng,624,624,judge26,newstest2016.online-G.0.tr-en,2,newstest2016.dvorkanton.4346.tr-en,3,1266
tur,eng,624,624,judge26,newstest2016.online-G.0.tr-en,2,newstest2016.tbtk-syscomb.4509.tr-en,3,1266
tur,eng,624,624,judge26,newstest2016.online-G.0.tr-en,2,newstest2016.online-B.0.tr-en,2,1266
tur,eng,624,624,judge26,newstest2016.online-G.0.tr-en,2,newstest2016.jhu-pbmt.4285.tr-en,4,1266
tur,eng,624,624,judge26,newstest2016.dvorkanton.4346.tr-en,3,newstest2016.tbtk-syscomb.4509.tr-en,3,1266
tur,eng,624,624,judge26,newstest2016.dvorkanton.4346.tr-en,3,newstest2016.online-B.0.tr-en,2,1266
tur,eng,624,624,judge26,newstest2016.dvorkanton.4346.tr-en,3,newstest2016.jhu-pbmt.4285.tr-en,4,1266
tur,eng,624,624,judge26,newstest2016.tbtk-syscomb.4509.tr-en,3,newstest2016.online-B.0.tr-en,2,1266
tur,eng,624,624,judge26,newstest2016.tbtk-syscomb.4509.tr-en,3,newstest2016.jhu-pbmt.4285.tr-en,4,1266
tur,eng,624,624,judge26,newstest2016.online-B.0.tr-en,2,newstest2016.jhu-pbmt.4285.tr-en,4,1266
tur,eng,232,232,judge36,newstest2016.tbtk-syscomb.4509.tr-en,1,newstest2016.jhu-syntax.4391.tr-en,5,1267
tur,eng,232,232,judge36,newstest2016.tbtk-syscomb.4509.tr-en,1,newstest2016.online-A.0.tr-en,2,1267
tur,eng,232,232,judge36,newstest2016.tbtk-syscomb.4509.tr-en,1,newstest2016.online-B.0.tr-en,4,1267
tur,eng,232,232,judge36,newstest2016.tbtk-syscomb.4509.tr-en,1,newstest2016.jhu-pbmt.4285.tr-en,3,1267
tur,eng,232,232,judge36,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.online-A.0.tr-en,2,1267
tur,eng,232,232,judge36,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.online-B.0.tr-en,4,1267
tur,eng,232,232,judge36,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.jhu-pbmt.4285.tr-en,3,1267
tur,eng,232,232,judge36,newstest2016.online-A.0.tr-en,2,newstest2016.online-B.0.tr-en,4,1267
tur,eng,232,232,judge36,newstest2016.online-A.0.tr-en,2,newstest2016.jhu-pbmt.4285.tr-en,3,1267
tur,eng,232,232,judge36,newstest2016.online-B.0.tr-en,4,newstest2016.jhu-pbmt.4285.tr-en,3,1267
tur,eng,235,235,judge36,newstest2016.online-A.0.tr-en,4,newstest2016.dvorkanton.4346.tr-en,5,1268
tur,eng,235,235,judge36,newstest2016.online-A.0.tr-en,4,newstest2016.jhu-syntax.4391.tr-en,5,1268
tur,eng,235,235,judge36,newstest2016.online-A.0.tr-en,4,newstest2016.tbtk-syscomb.4509.tr-en,1,1268
tur,eng,235,235,judge36,newstest2016.online-A.0.tr-en,4,newstest2016.online-G.0.tr-en,3,1268
tur,eng,235,235,judge36,newstest2016.dvorkanton.4346.tr-en,5,newstest2016.jhu-syntax.4391.tr-en,5,1268
tur,eng,235,235,judge36,newstest2016.dvorkanton.4346.tr-en,5,newstest2016.tbtk-syscomb.4509.tr-en,1,1268
tur,eng,235,235,judge36,newstest2016.dvorkanton.4346.tr-en,5,newstest2016.online-G.0.tr-en,3,1268
tur,eng,235,235,judge36,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.tbtk-syscomb.4509.tr-en,1,1268
tur,eng,235,235,judge36,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.online-G.0.tr-en,3,1268
tur,eng,235,235,judge36,newstest2016.tbtk-syscomb.4509.tr-en,1,newstest2016.online-G.0.tr-en,3,1268
tur,eng,236,236,judge36,newstest2016.online-G.0.tr-en,5,newstest2016.dvorkanton.4346.tr-en+newstest2016.online-A.0.tr-en,3,1269
tur,eng,236,236,judge36,newstest2016.online-G.0.tr-en,5,newstest2016.PROMT-SMT.4335.tr-en,1,1269
tur,eng,236,236,judge36,newstest2016.online-G.0.tr-en,5,newstest2016.jhu-pbmt.4285.tr-en,4,1269
tur,eng,236,236,judge36,newstest2016.online-G.0.tr-en,5,newstest2016.jhu-syntax.4391.tr-en+newstest2016.online-B.0.tr-en,2,1269
tur,eng,236,236,judge36,newstest2016.dvorkanton.4346.tr-en+newstest2016.online-A.0.tr-en,3,newstest2016.PROMT-SMT.4335.tr-en,1,1269
tur,eng,236,236,judge36,newstest2016.dvorkanton.4346.tr-en+newstest2016.online-A.0.tr-en,3,newstest2016.jhu-pbmt.4285.tr-en,4,1269
tur,eng,236,236,judge36,newstest2016.dvorkanton.4346.tr-en+newstest2016.online-A.0.tr-en,3,newstest2016.jhu-syntax.4391.tr-en+newstest2016.online-B.0.tr-en,2,1269
tur,eng,236,236,judge36,newstest2016.PROMT-SMT.4335.tr-en,1,newstest2016.jhu-pbmt.4285.tr-en,4,1269
tur,eng,236,236,judge36,newstest2016.PROMT-SMT.4335.tr-en,1,newstest2016.jhu-syntax.4391.tr-en+newstest2016.online-B.0.tr-en,2,1269
tur,eng,236,236,judge36,newstest2016.jhu-pbmt.4285.tr-en,4,newstest2016.jhu-syntax.4391.tr-en+newstest2016.online-B.0.tr-en,2,1269
tur,eng,86,86,judge5,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.tbtk-syscomb.4509.tr-en,5,1270
tur,eng,86,86,judge5,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.online-A.0.tr-en,5,1270
tur,eng,86,86,judge5,newstest2016.jhu-syntax.4391.tr-en,5,newstest2016.online-B.0.tr-en,5,1270
