srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
fin,eng,904,904,judge14,newstest2016.UH-factored.4392.fi-en,1,newstest2016.PROMT-SMT.4491.fi-en,4,1048
fin,eng,904,904,judge14,newstest2016.UH-factored.4392.fi-en,1,newstest2016.uedin-pbmt.4298.fi-en,2,1048
fin,eng,904,904,judge14,newstest2016.UH-factored.4392.fi-en,1,newstest2016.online-B.0.fi-en,3,1048
fin,eng,904,904,judge14,newstest2016.UH-factored.4392.fi-en,1,newstest2016.online-G.0.fi-en,5,1048
fin,eng,904,904,judge14,newstest2016.PROMT-SMT.4491.fi-en,4,newstest2016.uedin-pbmt.4298.fi-en,2,1048
fin,eng,904,904,judge14,newstest2016.PROMT-SMT.4491.fi-en,4,newstest2016.online-B.0.fi-en,3,1048
fin,eng,904,904,judge14,newstest2016.PROMT-SMT.4491.fi-en,4,newstest2016.online-G.0.fi-en,5,1048
fin,eng,904,904,judge14,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.online-B.0.fi-en,3,1048
fin,eng,904,904,judge14,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.online-G.0.fi-en,5,1048
fin,eng,904,904,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.online-G.0.fi-en,5,1048
fin,eng,905,905,judge14,newstest2016.online-G.0.fi-en,1,newstest2016.UH-opus.4410.fi-en,5,1049
fin,eng,905,905,judge14,newstest2016.online-G.0.fi-en,1,newstest2016.jhu-pbmt.4286.fi-en,2,1049
fin,eng,905,905,judge14,newstest2016.online-G.0.fi-en,1,newstest2016.uedin-pbmt.4298.fi-en,4,1049
fin,eng,905,905,judge14,newstest2016.online-G.0.fi-en,1,newstest2016.PROMT-SMT.4491.fi-en,3,1049
fin,eng,905,905,judge14,newstest2016.UH-opus.4410.fi-en,5,newstest2016.jhu-pbmt.4286.fi-en,2,1049
fin,eng,905,905,judge14,newstest2016.UH-opus.4410.fi-en,5,newstest2016.uedin-pbmt.4298.fi-en,4,1049
fin,eng,905,905,judge14,newstest2016.UH-opus.4410.fi-en,5,newstest2016.PROMT-SMT.4491.fi-en,3,1049
fin,eng,905,905,judge14,newstest2016.jhu-pbmt.4286.fi-en,2,newstest2016.uedin-pbmt.4298.fi-en,4,1049
fin,eng,905,905,judge14,newstest2016.jhu-pbmt.4286.fi-en,2,newstest2016.PROMT-SMT.4491.fi-en,3,1049
fin,eng,905,905,judge14,newstest2016.uedin-pbmt.4298.fi-en,4,newstest2016.PROMT-SMT.4491.fi-en,3,1049
fin,eng,906,906,judge14,newstest2016.UH-opus.4410.fi-en,3,newstest2016.uedin-syntax.4411.fi-en,2,1050
fin,eng,906,906,judge14,newstest2016.UH-opus.4410.fi-en,3,newstest2016.jhu-pbmt.4286.fi-en,4,1050
fin,eng,906,906,judge14,newstest2016.UH-opus.4410.fi-en,3,newstest2016.uedin-pbmt.4298.fi-en,5,1050
fin,eng,906,906,judge14,newstest2016.UH-opus.4410.fi-en,3,newstest2016.online-G.0.fi-en,1,1050
fin,eng,906,906,judge14,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.jhu-pbmt.4286.fi-en,4,1050
fin,eng,906,906,judge14,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.uedin-pbmt.4298.fi-en,5,1050
fin,eng,906,906,judge14,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.online-G.0.fi-en,1,1050
fin,eng,906,906,judge14,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.uedin-pbmt.4298.fi-en,5,1050
fin,eng,906,906,judge14,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.online-G.0.fi-en,1,1050
fin,eng,906,906,judge14,newstest2016.uedin-pbmt.4298.fi-en,5,newstest2016.online-G.0.fi-en,1,1050
fin,eng,600,600,judge14,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.online-B.0.fi-en,3,1051
fin,eng,600,600,judge14,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.UH-opus.4410.fi-en,1,1051
fin,eng,600,600,judge14,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.UH-factored.4392.fi-en,5,1051
fin,eng,600,600,judge14,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.online-G.0.fi-en,2,1051
fin,eng,600,600,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.UH-opus.4410.fi-en,1,1051
fin,eng,600,600,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.UH-factored.4392.fi-en,5,1051
fin,eng,600,600,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.online-G.0.fi-en,2,1051
fin,eng,600,600,judge14,newstest2016.UH-opus.4410.fi-en,1,newstest2016.UH-factored.4392.fi-en,5,1051
fin,eng,600,600,judge14,newstest2016.UH-opus.4410.fi-en,1,newstest2016.online-G.0.fi-en,2,1051
fin,eng,600,600,judge14,newstest2016.UH-factored.4392.fi-en,5,newstest2016.online-G.0.fi-en,2,1051
fin,eng,601,601,judge14,newstest2016.UH-opus.4410.fi-en,2,newstest2016.uedin-syntax.4411.fi-en,1,1052
fin,eng,601,601,judge14,newstest2016.UH-opus.4410.fi-en,2,newstest2016.online-G.0.fi-en,3,1052
fin,eng,601,601,judge14,newstest2016.UH-opus.4410.fi-en,2,newstest2016.jhu-pbmt.4286.fi-en,5,1052
fin,eng,601,601,judge14,newstest2016.UH-opus.4410.fi-en,2,newstest2016.uedin-pbmt.4298.fi-en,4,1052
fin,eng,601,601,judge14,newstest2016.uedin-syntax.4411.fi-en,1,newstest2016.online-G.0.fi-en,3,1052
fin,eng,601,601,judge14,newstest2016.uedin-syntax.4411.fi-en,1,newstest2016.jhu-pbmt.4286.fi-en,5,1052
fin,eng,601,601,judge14,newstest2016.uedin-syntax.4411.fi-en,1,newstest2016.uedin-pbmt.4298.fi-en,4,1052
fin,eng,601,601,judge14,newstest2016.online-G.0.fi-en,3,newstest2016.jhu-pbmt.4286.fi-en,5,1052
fin,eng,601,601,judge14,newstest2016.online-G.0.fi-en,3,newstest2016.uedin-pbmt.4298.fi-en,4,1052
fin,eng,601,601,judge14,newstest2016.jhu-pbmt.4286.fi-en,5,newstest2016.uedin-pbmt.4298.fi-en,4,1052
fin,eng,602,602,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.uedin-pbmt.4298.fi-en,2,1053
fin,eng,602,602,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.UH-factored.4392.fi-en,4,1053
fin,eng,602,602,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.PROMT-SMT.4491.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.uedin-syntax.4411.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.UH-opus.4410.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.online-B.0.fi-en,3,newstest2016.online-A.0.fi-en,5,1053
fin,eng,602,602,judge14,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.UH-factored.4392.fi-en,4,1053
fin,eng,602,602,judge14,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.PROMT-SMT.4491.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.uedin-syntax.4411.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.UH-opus.4410.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.online-A.0.fi-en,5,1053
fin,eng,602,602,judge14,newstest2016.UH-factored.4392.fi-en,4,newstest2016.PROMT-SMT.4491.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.UH-factored.4392.fi-en,4,newstest2016.uedin-syntax.4411.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.UH-factored.4392.fi-en,4,newstest2016.UH-opus.4410.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.UH-factored.4392.fi-en,4,newstest2016.online-A.0.fi-en,5,1053
fin,eng,602,602,judge14,newstest2016.PROMT-SMT.4491.fi-en,1,newstest2016.uedin-syntax.4411.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.PROMT-SMT.4491.fi-en,1,newstest2016.UH-opus.4410.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.PROMT-SMT.4491.fi-en,1,newstest2016.online-A.0.fi-en,5,1053
fin,eng,602,602,judge14,newstest2016.uedin-syntax.4411.fi-en,1,newstest2016.UH-opus.4410.fi-en,1,1053
fin,eng,602,602,judge14,newstest2016.uedin-syntax.4411.fi-en,1,newstest2016.online-A.0.fi-en,5,1053
fin,eng,602,602,judge14,newstest2016.UH-opus.4410.fi-en,1,newstest2016.online-A.0.fi-en,5,1053
fin,eng,940,940,judge26,newstest2016.uedin-pbmt.4298.fi-en,4,newstest2016.online-B.0.fi-en,2,1054
fin,eng,940,940,judge26,newstest2016.uedin-pbmt.4298.fi-en,4,newstest2016.jhu-pbmt.4286.fi-en,3,1054
fin,eng,940,940,judge26,newstest2016.uedin-pbmt.4298.fi-en,4,newstest2016.UH-opus.4410.fi-en,5,1054
fin,eng,940,940,judge26,newstest2016.uedin-pbmt.4298.fi-en,4,newstest2016.PROMT-SMT.4491.fi-en,1,1054
fin,eng,940,940,judge26,newstest2016.online-B.0.fi-en,2,newstest2016.jhu-pbmt.4286.fi-en,3,1054
fin,eng,940,940,judge26,newstest2016.online-B.0.fi-en,2,newstest2016.UH-opus.4410.fi-en,5,1054
fin,eng,940,940,judge26,newstest2016.online-B.0.fi-en,2,newstest2016.PROMT-SMT.4491.fi-en,1,1054
fin,eng,940,940,judge26,newstest2016.jhu-pbmt.4286.fi-en,3,newstest2016.UH-opus.4410.fi-en,5,1054
fin,eng,940,940,judge26,newstest2016.jhu-pbmt.4286.fi-en,3,newstest2016.PROMT-SMT.4491.fi-en,1,1054
fin,eng,940,940,judge26,newstest2016.UH-opus.4410.fi-en,5,newstest2016.PROMT-SMT.4491.fi-en,1,1054
fin,eng,941,941,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.jhu-pbmt.4286.fi-en,4,1055
fin,eng,941,941,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.online-G.0.fi-en,3,1055
fin,eng,941,941,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.uedin-pbmt.4298.fi-en,1,1055
fin,eng,941,941,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.online-B.0.fi-en,2,1055
fin,eng,941,941,judge26,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.online-G.0.fi-en,3,1055
fin,eng,941,941,judge26,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.uedin-pbmt.4298.fi-en,1,1055
fin,eng,941,941,judge26,newstest2016.jhu-pbmt.4286.fi-en,4,newstest2016.online-B.0.fi-en,2,1055
fin,eng,941,941,judge26,newstest2016.online-G.0.fi-en,3,newstest2016.uedin-pbmt.4298.fi-en,1,1055
fin,eng,941,941,judge26,newstest2016.online-G.0.fi-en,3,newstest2016.online-B.0.fi-en,2,1055
fin,eng,941,941,judge26,newstest2016.uedin-pbmt.4298.fi-en,1,newstest2016.online-B.0.fi-en,2,1055
fin,eng,942,942,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.PROMT-SMT.4491.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.UH-opus.4410.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.jhu-pbmt.4286.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.uedin-syntax.4411.fi-en,2,newstest2016.online-B.0.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.PROMT-SMT.4491.fi-en,3,newstest2016.UH-opus.4410.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.PROMT-SMT.4491.fi-en,3,newstest2016.jhu-pbmt.4286.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.PROMT-SMT.4491.fi-en,3,newstest2016.online-B.0.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.UH-opus.4410.fi-en,3,newstest2016.jhu-pbmt.4286.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.UH-opus.4410.fi-en,3,newstest2016.online-B.0.fi-en,3,1056
fin,eng,942,942,judge26,newstest2016.jhu-pbmt.4286.fi-en,3,newstest2016.online-B.0.fi-en,3,1056
fin,eng,267,267,judge5,newstest2016.UH-factored.4392.fi-en,4,newstest2016.uedin-pbmt.4298.fi-en,2,1058
fin,eng,267,267,judge5,newstest2016.UH-factored.4392.fi-en,4,newstest2016.PROMT-SMT.4491.fi-en,3,1058
fin,eng,267,267,judge5,newstest2016.UH-factored.4392.fi-en,4,newstest2016.jhu-pbmt.4286.fi-en,5,1058
fin,eng,267,267,judge5,newstest2016.UH-factored.4392.fi-en,4,newstest2016.UH-opus.4410.fi-en,2,1058
fin,eng,267,267,judge5,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.PROMT-SMT.4491.fi-en,3,1058
fin,eng,267,267,judge5,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.jhu-pbmt.4286.fi-en,5,1058
fin,eng,267,267,judge5,newstest2016.uedin-pbmt.4298.fi-en,2,newstest2016.UH-opus.4410.fi-en,2,1058
fin,eng,267,267,judge5,newstest2016.PROMT-SMT.4491.fi-en,3,newstest2016.jhu-pbmt.4286.fi-en,5,1058
fin,eng,267,267,judge5,newstest2016.PROMT-SMT.4491.fi-en,3,newstest2016.UH-opus.4410.fi-en,2,1058
fin,eng,267,267,judge5,newstest2016.jhu-pbmt.4286.fi-en,5,newstest2016.UH-opus.4410.fi-en,2,1058
fin,eng,268,268,judge5,newstest2016.uedin-pbmt.4298.fi-en,1,newstest2016.online-G.0.fi-en,3,1059
fin,eng,268,268,judge5,newstest2016.uedin-pbmt.4298.fi-en,1,newstest2016.PROMT-SMT.4491.fi-en,3,1059
fin,eng,268,268,judge5,newstest2016.uedin-pbmt.4298.fi-en,1,newstest2016.UH-factored.4392.fi-en,2,1059
fin,eng,268,268,judge5,newstest2016.uedin-pbmt.4298.fi-en,1,newstest2016.uedin-syntax.4411.fi-en,4,1059
fin,eng,268,268,judge5,newstest2016.online-G.0.fi-en,3,newstest2016.PROMT-SMT.4491.fi-en,3,1059
fin,eng,268,268,judge5,newstest2016.online-G.0.fi-en,3,newstest2016.UH-factored.4392.fi-en,2,1059
fin,eng,268,268,judge5,newstest2016.online-G.0.fi-en,3,newstest2016.uedin-syntax.4411.fi-en,4,1059
fin,eng,268,268,judge5,newstest2016.PROMT-SMT.4491.fi-en,3,newstest2016.UH-factored.4392.fi-en,2,1059
fin,eng,268,268,judge5,newstest2016.PROMT-SMT.4491.fi-en,3,newstest2016.uedin-syntax.4411.fi-en,4,1059
fin,eng,268,268,judge5,newstest2016.UH-factored.4392.fi-en,2,newstest2016.uedin-syntax.4411.fi-en,4,1059
fin,eng,757,757,judge14,newstest2016.UH-factored.4392.fi-en,3,newstest2016.jhu-pbmt.4286.fi-en,2,1060
fin,eng,757,757,judge14,newstest2016.UH-factored.4392.fi-en,3,newstest2016.uedin-pbmt.4298.fi-en,1,1060
fin,eng,757,757,judge14,newstest2016.UH-factored.4392.fi-en,3,newstest2016.online-A.0.fi-en,5,1060
fin,eng,757,757,judge14,newstest2016.UH-factored.4392.fi-en,3,newstest2016.UH-opus.4410.fi-en,4,1060
fin,eng,757,757,judge14,newstest2016.jhu-pbmt.4286.fi-en,2,newstest2016.uedin-pbmt.4298.fi-en,1,1060
fin,eng,757,757,judge14,newstest2016.jhu-pbmt.4286.fi-en,2,newstest2016.online-A.0.fi-en,5,1060
fin,eng,757,757,judge14,newstest2016.jhu-pbmt.4286.fi-en,2,newstest2016.UH-opus.4410.fi-en,4,1060
fin,eng,757,757,judge14,newstest2016.uedin-pbmt.4298.fi-en,1,newstest2016.online-A.0.fi-en,5,1060
fin,eng,757,757,judge14,newstest2016.uedin-pbmt.4298.fi-en,1,newstest2016.UH-opus.4410.fi-en,4,1060
fin,eng,757,757,judge14,newstest2016.online-A.0.fi-en,5,newstest2016.UH-opus.4410.fi-en,4,1060
fin,eng,758,758,judge14,newstest2016.PROMT-SMT.4491.fi-en,2,newstest2016.online-G.0.fi-en,5,1061
fin,eng,758,758,judge14,newstest2016.PROMT-SMT.4491.fi-en,2,newstest2016.UH-factored.4392.fi-en,3,1061
fin,eng,758,758,judge14,newstest2016.PROMT-SMT.4491.fi-en,2,newstest2016.UH-opus.4410.fi-en,3,1061
fin,eng,758,758,judge14,newstest2016.PROMT-SMT.4491.fi-en,2,newstest2016.online-B.0.fi-en,1,1061
fin,eng,758,758,judge14,newstest2016.PROMT-SMT.4491.fi-en,2,newstest2016.uedin-pbmt.4298.fi-en,4,1061
fin,eng,758,758,judge14,newstest2016.online-G.0.fi-en,5,newstest2016.UH-factored.4392.fi-en,3,1061
fin,eng,758,758,judge14,newstest2016.online-G.0.fi-en,5,newstest2016.UH-opus.4410.fi-en,3,1061
fin,eng,758,758,judge14,newstest2016.online-G.0.fi-en,5,newstest2016.online-B.0.fi-en,1,1061
fin,eng,758,758,judge14,newstest2016.online-G.0.fi-en,5,newstest2016.uedin-pbmt.4298.fi-en,4,1061
