srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,cze,214,214,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,2,it-test2016.qtl-Moses.4304.en-cs,2,892
eng,cze,214,214,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,2,it-test2016.qtl-Chimera-plus.4516.en-cs,3,892
eng,cze,214,214,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,2,it-test2016.qtl-Chimera-pure.4260.en-cs,1,892
eng,cze,214,214,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,2,it-test2016.qtl-TectoMT.4321.en-cs,1,892
eng,cze,214,214,judge6,it-test2016.qtl-Moses.4304.en-cs,2,it-test2016.qtl-Chimera-plus.4516.en-cs,3,892
eng,cze,214,214,judge6,it-test2016.qtl-Moses.4304.en-cs,2,it-test2016.qtl-Chimera-pure.4260.en-cs,1,892
eng,cze,214,214,judge6,it-test2016.qtl-Moses.4304.en-cs,2,it-test2016.qtl-TectoMT.4321.en-cs,1,892
eng,cze,214,214,judge6,it-test2016.qtl-Chimera-plus.4516.en-cs,3,it-test2016.qtl-Chimera-pure.4260.en-cs,1,892
eng,cze,214,214,judge6,it-test2016.qtl-Chimera-plus.4516.en-cs,3,it-test2016.qtl-TectoMT.4321.en-cs,1,892
eng,cze,214,214,judge6,it-test2016.qtl-Chimera-pure.4260.en-cs,1,it-test2016.qtl-TectoMT.4321.en-cs,1,892
eng,cze,215,215,judge6,it-test2016.qtl-Moses.4304.en-cs,3,it-test2016.ILLC-UvA-DS.4523.en-cs,4,893
eng,cze,215,215,judge6,it-test2016.qtl-Moses.4304.en-cs,3,it-test2016.qtl-TectoMT.4321.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.qtl-Moses.4304.en-cs,3,it-test2016.qtl-Chimera-plus.4516.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.qtl-Moses.4304.en-cs,3,it-test2016.qtl-Chimera-pure.4260.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,4,it-test2016.qtl-TectoMT.4321.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,4,it-test2016.qtl-Chimera-plus.4516.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,4,it-test2016.qtl-Chimera-pure.4260.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.qtl-TectoMT.4321.en-cs,5,it-test2016.qtl-Chimera-plus.4516.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.qtl-TectoMT.4321.en-cs,5,it-test2016.qtl-Chimera-pure.4260.en-cs,5,893
eng,cze,215,215,judge6,it-test2016.qtl-Chimera-plus.4516.en-cs,5,it-test2016.qtl-Chimera-pure.4260.en-cs,5,893
eng,cze,216,216,judge6,it-test2016.qtl-Chimera-pure.4260.en-cs,5,it-test2016.ILLC-UvA-DS.4523.en-cs,4,894
eng,cze,216,216,judge6,it-test2016.qtl-Chimera-pure.4260.en-cs,5,it-test2016.qtl-TectoMT.4321.en-cs,1,894
eng,cze,216,216,judge6,it-test2016.qtl-Chimera-pure.4260.en-cs,5,it-test2016.qtl-Chimera-plus.4516.en-cs,3,894
eng,cze,216,216,judge6,it-test2016.qtl-Chimera-pure.4260.en-cs,5,it-test2016.qtl-Moses.4304.en-cs,4,894
eng,cze,216,216,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,4,it-test2016.qtl-TectoMT.4321.en-cs,1,894
eng,cze,216,216,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,4,it-test2016.qtl-Chimera-plus.4516.en-cs,3,894
eng,cze,216,216,judge6,it-test2016.ILLC-UvA-DS.4523.en-cs,4,it-test2016.qtl-Moses.4304.en-cs,4,894
eng,cze,216,216,judge6,it-test2016.qtl-TectoMT.4321.en-cs,1,it-test2016.qtl-Chimera-plus.4516.en-cs,3,894
eng,cze,216,216,judge6,it-test2016.qtl-TectoMT.4321.en-cs,1,it-test2016.qtl-Moses.4304.en-cs,4,894
