srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,eus,263,263,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5140
eng,eus,264,264,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5141
eng,eus,265,265,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5142
eng,eus,332,332,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5143
eng,eus,333,333,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,1,5144
eng,eus,334,334,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,1,5145
eng,eus,17,17,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5146
eng,eus,18,18,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5147
eng,eus,19,19,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,1,5148
eng,eus,131,131,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5149
eng,eus,133,133,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,1,5150
eng,eus,135,135,judge41,it-test2016.qtl-Moses.4268.en-eu,1,it-test2016.qtl-TectoMT.4473.en-eu,2,5151
eng,eus,195,195,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,1,5152
eng,eus,196,196,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,1,5153
eng,eus,197,197,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5154
eng,eus,54,54,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5155
eng,eus,55,55,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5156
eng,eus,56,56,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5157
eng,eus,265,265,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5158
eng,eus,266,266,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5159
eng,eus,267,267,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5160
eng,eus,84,84,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5161
eng,eus,87,87,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5162
eng,eus,89,89,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5163
eng,eus,60,60,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5164
eng,eus,61,61,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5165
eng,eus,63,63,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5166
eng,eus,348,348,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5167
eng,eus,349,349,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5168
eng,eus,350,350,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5169
eng,eus,67,67,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5170
eng,eus,68,68,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5171
eng,eus,69,69,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,2,5172
eng,eus,12,12,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,1,5173
eng,eus,13,13,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5174
eng,eus,14,14,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,1,5175
eng,eus,94,94,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5176
eng,eus,95,95,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5177
eng,eus,96,96,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5178
eng,eus,280,280,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5179
eng,eus,281,281,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,1,5180
eng,eus,282,282,judge41,it-test2016.qtl-TectoMT.4473.en-eu,1,it-test2016.qtl-Moses.4268.en-eu,2,5181
eng,eus,182,182,judge41,it-test2016.qtl-Moses.4268.en-eu,1,it-test2016.qtl-TectoMT.4473.en-eu,2,5182
eng,eus,183,183,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,1,5183
eng,eus,184,184,judge41,it-test2016.qtl-TectoMT.4473.en-eu,2,it-test2016.qtl-Moses.4268.en-eu,2,5184
eng,eus,328,328,judge41,it-test2016.qtl-Moses.4268.en-eu,2,it-test2016.qtl-TectoMT.4473.en-eu,1,5185
