srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,ptb,125,125,judge54,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.PROMT-Hybrid.4279.en-pt,4,4258
eng,ptb,125,125,judge54,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,2,4258
eng,ptb,125,125,judge54,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.qtl-Moses.4315.en-pt,1,4258
eng,ptb,125,125,judge54,it-test2016.PROMT-Hybrid.4279.en-pt,4,it-test2016.qtl-TectoMT.4316.en-pt,2,4258
eng,ptb,125,125,judge54,it-test2016.PROMT-Hybrid.4279.en-pt,4,it-test2016.qtl-Moses.4315.en-pt,1,4258
eng,ptb,125,125,judge54,it-test2016.qtl-TectoMT.4316.en-pt,2,it-test2016.qtl-Moses.4315.en-pt,1,4258
eng,ptb,126,126,judge54,it-test2016.qtl-Chimera.4314.en-pt,2,it-test2016.qtl-Moses.4315.en-pt,3,4259
eng,ptb,126,126,judge54,it-test2016.qtl-Chimera.4314.en-pt,2,it-test2016.PROMT-Hybrid.4279.en-pt,1,4259
eng,ptb,126,126,judge54,it-test2016.qtl-Chimera.4314.en-pt,2,it-test2016.qtl-TectoMT.4316.en-pt,4,4259
eng,ptb,126,126,judge54,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.PROMT-Hybrid.4279.en-pt,1,4259
eng,ptb,126,126,judge54,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,4,4259
eng,ptb,126,126,judge54,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,4,4259
eng,ptb,128,128,judge54,it-test2016.qtl-TectoMT.4316.en-pt,3,it-test2016.qtl-Moses.4315.en-pt,4,4260
eng,ptb,128,128,judge54,it-test2016.qtl-TectoMT.4316.en-pt,3,it-test2016.qtl-Chimera.4314.en-pt,2,4260
eng,ptb,128,128,judge54,it-test2016.qtl-TectoMT.4316.en-pt,3,it-test2016.PROMT-Hybrid.4279.en-pt,1,4260
eng,ptb,128,128,judge54,it-test2016.qtl-Moses.4315.en-pt,4,it-test2016.qtl-Chimera.4314.en-pt,2,4260
eng,ptb,128,128,judge54,it-test2016.qtl-Moses.4315.en-pt,4,it-test2016.PROMT-Hybrid.4279.en-pt,1,4260
eng,ptb,128,128,judge54,it-test2016.qtl-Chimera.4314.en-pt,2,it-test2016.PROMT-Hybrid.4279.en-pt,1,4260
eng,ptb,205,205,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-Moses.4315.en-pt,3,4261
eng,ptb,205,205,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-Chimera.4314.en-pt,2,4261
eng,ptb,205,205,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,2,4261
eng,ptb,205,205,judge55,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.qtl-Chimera.4314.en-pt,2,4261
eng,ptb,205,205,judge55,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,2,4261
eng,ptb,205,205,judge55,it-test2016.qtl-Chimera.4314.en-pt,2,it-test2016.qtl-TectoMT.4316.en-pt,2,4261
eng,ptb,206,206,judge55,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.qtl-Chimera.4314.en-pt,1,4262
eng,ptb,206,206,judge55,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,1,4262
eng,ptb,206,206,judge55,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.PROMT-Hybrid.4279.en-pt,2,4262
eng,ptb,206,206,judge55,it-test2016.qtl-Chimera.4314.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,1,4262
eng,ptb,206,206,judge55,it-test2016.qtl-Chimera.4314.en-pt,1,it-test2016.PROMT-Hybrid.4279.en-pt,2,4262
eng,ptb,206,206,judge55,it-test2016.qtl-TectoMT.4316.en-pt,1,it-test2016.PROMT-Hybrid.4279.en-pt,2,4262
eng,ptb,207,207,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,4,it-test2016.qtl-Chimera.4314.en-pt,2,4263
eng,ptb,207,207,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,4,it-test2016.qtl-Moses.4315.en-pt,1,4263
eng,ptb,207,207,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,4,it-test2016.qtl-TectoMT.4316.en-pt,3,4263
eng,ptb,207,207,judge55,it-test2016.qtl-Chimera.4314.en-pt,2,it-test2016.qtl-Moses.4315.en-pt,1,4263
eng,ptb,207,207,judge55,it-test2016.qtl-Chimera.4314.en-pt,2,it-test2016.qtl-TectoMT.4316.en-pt,3,4263
eng,ptb,207,207,judge55,it-test2016.qtl-Moses.4315.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,3,4263
eng,ptb,198,198,judge56,it-test2016.qtl-Moses.4315.en-pt,2,it-test2016.PROMT-Hybrid.4279.en-pt,1,4264
eng,ptb,198,198,judge56,it-test2016.qtl-Moses.4315.en-pt,2,it-test2016.qtl-Chimera.4314.en-pt,3,4264
eng,ptb,198,198,judge56,it-test2016.qtl-Moses.4315.en-pt,2,it-test2016.qtl-TectoMT.4316.en-pt,3,4264
eng,ptb,198,198,judge56,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-Chimera.4314.en-pt,3,4264
eng,ptb,198,198,judge56,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,3,4264
eng,ptb,198,198,judge56,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,3,4264
eng,ptb,199,199,judge56,it-test2016.PROMT-Hybrid.4279.en-pt,3,it-test2016.qtl-Moses.4315.en-pt,3,4265
eng,ptb,199,199,judge56,it-test2016.PROMT-Hybrid.4279.en-pt,3,it-test2016.qtl-Chimera.4314.en-pt,1,4265
eng,ptb,199,199,judge56,it-test2016.PROMT-Hybrid.4279.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,1,4265
eng,ptb,199,199,judge56,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.qtl-Chimera.4314.en-pt,1,4265
eng,ptb,199,199,judge56,it-test2016.qtl-Moses.4315.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,1,4265
eng,ptb,199,199,judge56,it-test2016.qtl-Chimera.4314.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,1,4265
eng,ptb,200,200,judge56,it-test2016.qtl-TectoMT.4316.en-pt,2,it-test2016.qtl-Moses.4315.en-pt,4,4266
eng,ptb,200,200,judge56,it-test2016.qtl-TectoMT.4316.en-pt,2,it-test2016.qtl-Chimera.4314.en-pt,3,4266
eng,ptb,200,200,judge56,it-test2016.qtl-TectoMT.4316.en-pt,2,it-test2016.PROMT-Hybrid.4279.en-pt,1,4266
eng,ptb,200,200,judge56,it-test2016.qtl-Moses.4315.en-pt,4,it-test2016.qtl-Chimera.4314.en-pt,3,4266
eng,ptb,200,200,judge56,it-test2016.qtl-Moses.4315.en-pt,4,it-test2016.PROMT-Hybrid.4279.en-pt,1,4266
eng,ptb,200,200,judge56,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.PROMT-Hybrid.4279.en-pt,1,4266
eng,ptb,323,323,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,4,4267
eng,ptb,323,323,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-Moses.4315.en-pt,2,4267
eng,ptb,323,323,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-Chimera.4314.en-pt,3,4267
eng,ptb,323,323,judge55,it-test2016.qtl-TectoMT.4316.en-pt,4,it-test2016.qtl-Moses.4315.en-pt,2,4267
eng,ptb,323,323,judge55,it-test2016.qtl-TectoMT.4316.en-pt,4,it-test2016.qtl-Chimera.4314.en-pt,3,4267
eng,ptb,323,323,judge55,it-test2016.qtl-Moses.4315.en-pt,2,it-test2016.qtl-Chimera.4314.en-pt,3,4267
eng,ptb,324,324,judge55,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.qtl-Moses.4315.en-pt,2,4268
eng,ptb,324,324,judge55,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.PROMT-Hybrid.4279.en-pt,1,4268
eng,ptb,324,324,judge55,it-test2016.qtl-Chimera.4314.en-pt,3,it-test2016.qtl-TectoMT.4316.en-pt,4,4268
eng,ptb,324,324,judge55,it-test2016.qtl-Moses.4315.en-pt,2,it-test2016.PROMT-Hybrid.4279.en-pt,1,4268
eng,ptb,324,324,judge55,it-test2016.qtl-Moses.4315.en-pt,2,it-test2016.qtl-TectoMT.4316.en-pt,4,4268
eng,ptb,324,324,judge55,it-test2016.PROMT-Hybrid.4279.en-pt,1,it-test2016.qtl-TectoMT.4316.en-pt,4,4268
